theme,model,sample_idx,chunk_idx,n_notes,ctr,chord_match_per_time,ctr_first_beat,scale_match,scale_match_per_time,note_density,pitch_entropy,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap
Blues on Sunday_III,cmt,1,0,24,0.625000,0.511407,0.333333,0.833333,0.946074,3.000000,2.590200,0.047619,0.000000,0.000000
Blues on Sunday_III,cmt,1,1,50,0.180000,0.228980,0.250000,0.580000,0.572898,6.250000,2.247403,0.000000,0.000000,0.000000
Blues on Sunday_III,cmt,1,2,34,0.264706,0.342432,0.333333,0.470588,0.500620,4.250000,1.987460,0.000000,0.000000,0.000000
Blues on Sunday_III,mingus,0,0,40,0.475000,0.432815,0.000000,0.850000,0.889904,5.000000,2.750266,0.000000,0.000000,0.000000
Blues on Sunday_III,mingus,0,1,35,0.457143,0.514741,,0.771429,0.795878,4.375000,3.202828,0.000000,0.000000,0.000000
Blues on Sunday_III,mingus,1,0,22,0.409091,0.340711,,0.727273,0.724704,2.750000,3.170135,0.000000,0.000000,0.000000
Blues on Sunday_III,mingus,1,1,20,0.450000,0.558307,0.000000,0.800000,0.883386,2.500000,3.146439,0.000000,0.000000,0.000000
Blues on Sunday_III,bebopnet,0,0,51,0.274510,0.288206,0.000000,0.588235,0.654199,6.375000,3.400380,0.000000,0.000000,0.000000
Blues on Sunday_III,bebopnet,1,0,145,0.358621,0.355256,0.333333,0.634483,0.658610,18.125000,3.557225,0.008065,0.000000,0.000000
BluesInH_III,cmt,0,0,42,0.714286,0.759091,1.000000,0.714286,0.759091,5.250000,3.218437,0.000000,0.000000,0.000000
BluesInH_III,cmt,1,0,25,0.720000,0.766434,0.750000,0.720000,0.766434,3.125000,1.994303,0.047619,0.000000,0.000000
BluesInH_III,mingus,1,0,31,0.548387,0.555431,,0.548387,0.555431,3.875000,3.317775,0.000000,0.000000,0.000000
BluesInH_III,bebopnet,0,0,70,0.614286,0.684544,0.750000,0.614286,0.684544,8.750000,3.438541,0.149254,0.106061,0.061538
BluesInH_III,bebopnet,1,0,86,0.639535,0.764506,0.750000,0.639535,0.764506,10.750000,3.383011,0.155844,0.098765,0.049383
BluesMarch_IV_Part-1,cmt,0,0,35,0.200000,0.166786,0.000000,0.485714,0.341948,4.375000,2.909552,0.062500,0.000000,0.000000
BluesMarch_IV_Part-1,cmt,0,1,40,0.150000,0.087342,0.000000,0.375000,0.262368,5.000000,2.891919,0.000000,0.000000,0.000000
BluesMarch_IV_Part-1,cmt,1,0,26,0.307692,0.364362,0.000000,0.461538,0.586340,3.250000,2.907009,0.086957,0.000000,0.000000
BluesMarch_IV_Part-1,cmt,1,1,24,0.166667,0.202150,0.000000,0.458333,0.346618,3.000000,2.792481,0.000000,0.000000,0.000000
BluesMarch_IV_Part-1,mingus,0,0,40,0.375000,0.323653,,0.625000,0.546760,5.000000,3.252656,0.027027,0.000000,0.000000
BluesMarch_IV_Part-1,mingus,1,0,36,0.416667,0.482672,0.000000,0.638889,0.621460,4.500000,3.206841,0.000000,0.000000,0.000000
BluesMarch_IV_Part-1,bebopnet,0,0,44,0.363636,0.228352,0.250000,0.568182,0.375096,5.500000,3.055103,0.076923,0.000000,0.000000
BluesMarch_IV_Part-1,bebopnet,0,1,69,0.304348,0.326139,,0.536232,0.550033,8.625000,3.232473,0.000000,0.000000,0.000000
BluesMarch_IV_Part-1,bebopnet,1,0,56,0.267857,0.190056,0.333333,0.464286,0.316951,7.000000,3.408788,0.105263,0.052632,0.000000
BluesMarch_IV_Part-1,bebopnet,1,1,105,0.323810,0.299272,0.400000,0.609524,0.600309,13.125000,3.437205,0.010204,0.000000,0.000000
Boogie Stop Shuffle_I,cmt,0,0,49,0.183673,0.230147,0.000000,0.653061,0.648187,6.125000,2.504516,0.000000,0.000000,0.000000
